"nombre_barrio","cliente"
Unidad Residencial Santiago de Cali,"5.97064E+18"
San Fernando Nuevo,-2.06379E+18
Urbanización San Juaquín,"3.55906E+18"
Juanambu,-6.36791E+18
El Calvario,"1.80176E+18"
Lili,-2.71669E+18
San Vicente,-8.41204E+18
El Cedro,"3.82249E+18"
Porvenir,"5.44677E+18"
El Sena,-3.69523E+18
Unidad Residencial Santiago de Cali,"5.72766E+18"
Santa Rita,"8.19322E+18"
Urbanización San Juaquín,"4.30833E+18"
Urbanización La Flora,"5.57409E+17"
Urbanización San Juaquín,-5.48995E+18
Los Guaduales,-6.79998E+18
San Nicolás,"2.78279E+18"
San Vicente,"9.08139E+18"
Los Alcázares,-2.50257E+18
El Calvario,"1.08315E+18"
Los Guaduales,-1.16049E+18
Junin,-6.65632E+18
Unicentro Cali,-8.75897E+18
San Vicente,-3.62718E+18
Metropolitano del Norte,-7.06617E+18
Los Guayacanes,"7.28493E+18"
San Fernando Viejo,"1.77694E+17"
Unidad Residencial Santiago de Cali,-1.29865E+18
Guayaquil,-9.01256E+17
El Sena,"7.25998E+18"
Los Cambulos,"2.26488E+18"
Las Delicias,-1.8991E+18
El Sena,"1.17049E+18"
El Sena,"5.72903E+18"
San Vicente,"6.66515E+18"
La Rivera,-1.45547E+17
Prados del Norte,-7.91794E+18
San Fernando Nuevo,-5.36337E+18
Urbanización Ciudad Jardín,"8.36067E+18"
Urbanización Militar,"8.36458E+18"
El Sena,"1.47663E+17"
Urbanización Militar,-6.95324E+18
Unicentro Cali,-3.38942E+18
San Vicente,"5.37236E+18"
Urbanización San Juaquín,"5.1011E+18"
Prados del Norte,"1.24016E+18"
El Cedro,-7.97134E+17
Urbanización Río Lili,-8.08118E+18
Calima,-1.58345E+18
Urbanización Ciudad Jardín,-4.34647E+17
Chapinero,-8.8043E+18
El Sena,"8.59516E+18"
El Jardín,-4.20621E+18
Chipichape,"1.14182E+18"
El Cedro,-3.66582E+18
Colseguros Andes,"4.33725E+18"
Ciudad Córdoba,"5.20063E+18"
Lili,"1.18444E+18"
Ciudad Córdoba,"2.63381E+18"
Ciudad Córdoba,"5.06826E+18"
Chapinero,-7.0011E+18
San Vicente,-2.29606E+18
Urbanización Militar,-9.0001E+18
El Cedro,"5.61959E+18"
Lili,"8.59148E+18"
San Fernando Viejo,"6.72127E+18"
Jorge Eliecer Gaitan,"8.53128E+18"
Los Alcázares,-2.94597E+18
Santa Mónica Residencial,"1.57398E+17"
San Pedro,-3.8856E+18
San Nicolás,-1.12542E+18
San Fernando Nuevo,-7.2667E+18
Chapinero,-4.32456E+18
Urbanización Ciudad Jardín,-2.61366E+18
Chapinero,-2.20607E+17
Unicentro Cali,"4.24502E+17"
Alfonso López I,"1.65583E+18"
El Sena,"2.3024E+18"
Unicentro Cali,-4.41917E+17
Junin,"5.22912E+18"
San Nicolás,-4.77362E+18
Urbanización San Juaquín,"9.09527E+17"
Caney,"4.13731E+18"
Chipichape,-1.0633E+18
San Judas Tadeo II,-8.41347E+18
Lili,-8.30268E+18
Chapinero,-2.80962E+18
San Vicente,-8.88163E+18
El Gran Limonar,-9.06631E+18
Chapinero,-1.61199E+18
Sucre,"3.21437E+18"
Cristobal Colón,"7.41808E+17"
Unicentro Cali,"1.06139E+18"
San Vicente,-2.00052E+18
El Gran Limonar,"1.81107E+18"
La Merced,-4.01584E+18
José M. Córdoba,-1.80694E+18
Los Guaduales,"2.1638E+18"
La Alianza,"7.08937E+18"
Calima,-8.22255E+18
Mayapan-Las Vegas,"6.40317E+18"
Urbanización Tequendama,-5.41874E+18
Lili,-4.95719E+18
Prados del Norte,"3.79196E+17"
Prados del Norte,"6.78201E+18"
Colseguros Andes,"6.18173E+18"
